alpha,precision,recall,f1,auc
0.0,0.8506493506493507,0.808641975308642,0.8291139240506329,0.9473787477954144
0.05,0.8653846153846154,0.8333333333333334,0.8490566037735849,0.9624338624338623
0.1,0.8871473354231975,0.8734567901234568,0.880248833592535,0.9745590828924162
0.15,0.9025157232704403,0.8858024691358025,0.8940809968847352,0.9840652557319224
0.2,0.9371069182389937,0.9197530864197531,0.9283489096573209,0.9906569664902998
0.25,0.9592476489028213,0.9444444444444444,0.9517884914463453,0.9951763668430336
0.3,0.96875,0.9567901234567902,0.9627329192546584,0.9978086419753086
0.35,0.9749216300940439,0.9598765432098766,0.9673405909797823,0.9991931216931216
0.4,0.9937888198757764,0.9876543209876543,0.9907120743034056,0.9997971781305115
0.45,1.0,0.9907407407407407,0.9953488372093023,0.9999779541446209
0.5,1.0,0.9969135802469136,0.9984544049459042,1.0
0.55,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
0.65,1.0,1.0,1.0,1.0
0.7,1.0,1.0,1.0,1.0
0.75,1.0,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
0.85,1.0,1.0,1.0,1.0
0.9,1.0,1.0,1.0,1.0
0.95,0.9969230769230769,1.0,0.9984591679506933,1.0
1.0,0.9969230769230769,1.0,0.9984591679506933,1.0
