alpha,auc,f1,precision,recall
0.0,0.9533660589060308,0.8785034700565306,0.8813318232684814,0.8796296296296297
0.05,0.9708976157082749,0.8971952438939875,0.9002885302484865,0.8981481481481481
0.1,0.9789621318373072,0.9350883190883192,0.9351557907113462,0.9351851851851852
0.15000000000000002,0.9891304347826086,0.9629629629629629,0.9629629629629629,0.9629629629629629
0.2,0.9919354838709677,0.9721807081807081,0.972310405643739,0.9722222222222222
0.25,0.9957924263674615,0.9814814814814815,0.9814814814814815,0.9814814814814815
0.30000000000000004,0.9989481065918654,0.9814814814814815,0.9814814814814815,0.9814814814814815
0.35000000000000003,0.9996493688639552,0.9814814814814815,0.9814814814814815,0.9814814814814815
0.4,0.9996493688639552,0.9907528824392187,0.9909377462568952,0.9907407407407407
0.45,1.0,1.0,1.0,1.0
0.5,1.0,1.0,1.0,1.0
0.55,1.0,1.0,1.0,1.0
0.6000000000000001,1.0,1.0,1.0,1.0
0.65,1.0,1.0,1.0,1.0
0.7000000000000001,1.0,1.0,1.0,1.0
0.75,1.0,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0
0.8500000000000001,1.0,1.0,1.0,1.0
0.9,1.0,1.0,1.0,1.0
0.9500000000000001,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
